code,class,species
a1,Amphibians,Alytes cisternasii
a2,Amphibians,Alytes dickhilleni
a3,Amphibians,Alytes muletensis
a4,Amphibians,Alytes obstetricans
a5,Amphibians,Bombina bombina
a6,Amphibians,Bombina pachypus
a7,Amphibians,Bombina variegata
a8,Amphibians,Bufo bufo
a9,Amphibians,Epidalea calamita
a11,Amphibians,Pseudepidalea viridis
a12,Amphibians,Chioglossa lusitanica
a13,Amphibians,Discoglossus galganoi
a14,Amphibians,Discoglossus jeanneae
a15,Amphibians,Discoglossus montalentii
a16,Amphibians,Discoglossus pictus
a17,Amphibians,Discoglossus sardus
a18,Amphibians,Calotriton asper
a19,Amphibians,Euproctus montanus
a20,Amphibians,Euproctus platycephalus
a21,Amphibians,Hyla arborea
a22,Amphibians,Hyla intermedia
a23,Amphibians,Hyla meridionalis
a24,Amphibians,Hyla sarda
a25,Amphibians,Hyla savignyi
a31,Amphibians,Lyciasalamandra helverseni
a32,Amphibians,Lyciasalamandra luschani
a36,Amphibians,Pelobates cultripes
a37,Amphibians,Pelobates fuscus
a38,Amphibians,Pelobates syriacus
a40,Amphibians,Pelodytes ibericus
a41,Amphibians,Pelodytes punctatus
a42,Amphibians,Pleurodeles waltl
a43,Amphibians,Proteus anguinus
a44,Amphibians,Rana arvalis
a45,Amphibians,Pelophylax bedriagae
a46,Amphibians,Pelophylax bergeri
a47,Amphibians,Pelophylax cerigensis
a48,Amphibians,Pelophylax cretensis
a49,Amphibians,Rana dalmatina
a50,Amphibians,Pelophylax epeiroticus
a51,Amphibians,Pelophylax esculentus
a52,Amphibians,Rana graeca
a53,Amphibians,Pelophylax grafi
a54,Amphibians,Pelophylax hispanicus
a55,Amphibians,Rana iberica
a56,Amphibians,Rana italica
a57,Amphibians,Pelophylax kurtmuelleri
a58,Amphibians,Rana latastei
a59,Amphibians,Pelophylax lessonae
a61,Amphibians,Pelophylax perezi
a62,Amphibians,Rana pyrenaica
a63,Amphibians,Pelophylax ridibundus
a66,Amphibians,Rana temporaria
a67,Amphibians,Salamandra atra
a68,Amphibians,Salamandra corsica
a70,Amphibians,Salamandra lanzai
a71,Amphibians,Salamandra salamandra
a73,Amphibians,Salamandrina perspicillata
a74,Amphibians,Salamandrina terdigitata
a75,Amphibians,Speleomantes ambrosii
a76,Amphibians,Speleomantes flavus
a77,Amphibians,Atylodes genei
a78,Amphibians,Speleomantes imperialis
a79,Amphibians,Speleomantes italicus
a80,Amphibians,Speleomantes sarrabusensis
a81,Amphibians,Speleomantes strinatii
a82,Amphibians,Speleomantes supramontis
a83,Amphibians,Mesotriton alpestris
a84,Amphibians,Lissotriton boscai
a85,Amphibians,Triturus carnifex
a86,Amphibians,Triturus cristatus
a87,Amphibians,Triturus dobrogicus
a88,Amphibians,Lissotriton helveticus
a89,Amphibians,Lissotriton italicus
a90,Amphibians,Triturus karelinii
a91,Amphibians,Triturus marmoratus
a92,Amphibians,Lissotriton montandoni
a93,Amphibians,Triturus pygmaeus
a95,Amphibians,Lissotriton vulgaris
a99,Amphibians,Calotriton arnoldi
a100,Amphibians,Pseudepidalea balearica
a101,Amphibians,Pseudepidalea boulengeri
a102,Amphibians,Pseudepidalea sicula
a103,Amphibians,Pseudepidalea variabilis
a104,Amphibians,Triturus macedonicus
b1,Birds,Gavia stellata
b2,Birds,Gavia arctica
b3,Birds,Gavia immer
b5,Birds,Tachybaptus ruficollis
b6,Birds,Podiceps cristatus
b7,Birds,Podiceps grisegena
b8,Birds,Podiceps auritus
b9,Birds,Podiceps nigricollis
b10,Birds,Fulmarus glacialis
b11,Birds,Pterodroma deserta
b12,Birds,Pterodroma madeira
b13,Birds,Bulweria bulwerii
b14,Birds,Calonectris diomedea
b15,Birds,Puffinus puffinus
b16,Birds,Puffinus yelkouan
b17,Birds,Puffinus mauretanicus
b18,Birds,Puffinus assimilis
b19,Birds,Pelagodroma marina
b20,Birds,Hydrobates pelagicus
b21,Birds,Oceanodroma leucorhoa
b22,Birds,Oceanodroma castro
b23,Birds,Phaethon aethereus
b24,Birds,Morus bassanus
b25,Birds,Phalocrocorax carbo
b27,Birds,Phalocrocorax pygmaeus
b28,Birds,Pelecanus onocrotalus
b29,Birds,Pelecanus crispus
b30,Birds,Ardea cinerea
b31,Birds,Ardea purpurea
b32,Birds,Egretta alba
b33,Birds,Egretta garzetta
b34,Birds,Ardeola ralloides
b35,Birds,Bubulcus ibis
b36,Birds,Nycticorax nycticorax
b37,Birds,Ixobrychus minutus
b38,Birds,Botaurus stellaris
b39,Birds,Ciconia nigra
b40,Birds,Ciconia ciconia
b41,Birds,Plegadis falcinellus
b42,Birds,Platalea leucorodia
b43,Birds,Phoenicopterus roseus
b44,Birds,Cygnus olor
b45,Birds,Cygnus cygnus
b47,Birds,Anser fabalis
b48,Birds,Anser brachyrhynchus
b50,Birds,Anser erythropus
b51,Birds,Anser anser
b53,Birds,Branta leucopsis
b54,Birds,Branta bernicla
b56,Birds,Tadorna ferruginea
b57,Birds,Tadorna tadorna
b58,Birds,Anas penelope
b59,Birds,Anas strepera
b60,Birds,Anas crecca
b61,Birds,Anas platyrhynchos
b62,Birds,Anas acuta
b63,Birds,Anas querquedula
b64,Birds,Anas clypeata
b65,Birds,Marmaronetta angustirostris
b66,Birds,Netta rufina
b67,Birds,Aythya ferina
b68,Birds,Aythya nyroca
b69,Birds,Aythya fuligula
b70,Birds,Aythya marila
b71,Birds,Somateria mollissima
b75,Birds,Clangula hyemalis
